,model_name,is_topo,mse,mae,fid
47,OpenCylinderBatch,True,0.9183112368787979,1.1415415343698152,
48,OpenCylinderBatch,True,0.8973450225074509,1.1498005196882837,
49,OctaBatch,True,1.3505419492721558,1.619111180305481,
50,OpenCylinderBatch_no_topo,False,1.4021574655019575,1.5422990197675484,
51,OctaBatch,True,1.2894411087036133,1.5738248825073242,
52,Galaxy10Batch,True,87.85445404052734,267.06304931640625,261.7219845213305
53,Galaxy10Batch,True,87.78462219238281,272.96136474609375,271.9832922965024
54,MNISTBatch_no_topo,False,43.133975982666016,83.42408752441406,143.3339174033204
55,MNISTBatch_no_topo,False,67.69774627685547,136.7647705078125,273.7054230236142
56,LettersBatch,True,46.50782012939453,92.50701141357422,133.03086233067103
57,SwissRollBatch,True,1.9452760219573975,1.778002381324768,
58,LettersBatch,True,46.66815948486328,91.6595230102539,131.75890281467127
59,SwissRollBatch,True,1.8370226621627808,1.7232773303985596,
60,OpenCylinderBatch,True,0.9129397991595695,1.1391345767171321,
61,OpenCylinderBatch,True,0.9372750772819897,1.1562205499413145,
62,OctaBatch_no_topo,False,1.936309576034546,1.9171806573867798,
63,LettersBatch_no_topo,False,52.20360565185547,104.5079574584961,170.23041647010893
64,Galaxy10Batch_no_topo,False,99.46316528320312,273.5790100097656,268.4647403788051
65,SwissRollBatch_no_topo,False,7.535339982294025,3.383900345872455,
66,MNISTBatch,True,40.54905319213867,76.1977767944336,137.93565313630407
67,OctaBatch_no_topo,False,1.703673243522644,1.8078100681304932,
68,LettersBatch_no_topo,False,53.21441650390625,106.22047424316406,167.46358181179548
69,SwissRollBatch_no_topo,False,6.66000152484882,3.1908628650975657,
70,MNISTBatch,True,40.257606506347656,75.8172607421875,135.32541862779362
71,OctaBatch,True,1.300668478012085,1.5935728549957275,
72,OctaBatch,True,1.3683322668075562,1.6251307725906372,
73,MNISTBatch_no_topo,False,43.10947036743164,82.83954620361328,140.5708806389636
74,MNISTBatch_no_topo,False,42.71135330200195,82.47806549072266,142.98119850152472
75,Galaxy10Batch,True,89.31389617919922,274.9365234375,261.86198686388394
76,Galaxy10Batch,True,88.97895812988281,273.96319580078125,265.39935532269044
77,OpenCylinderBatch,True,0.9615264792717219,1.1748254637371904,
78,OpenCylinderBatch,True,1.0147055079649743,1.193346887160831,
79,SwissRollBatch_no_topo,False,5.277842679376522,2.769776022884214,
80,MNISTBatch,True,40.567230224609375,75.30110931396484,134.7675514907065
81,LettersBatch_no_topo,False,52.630943298339844,106.00720977783203,170.0739809717008
82,OctaBatch_no_topo,False,1.7751299142837524,1.840881586074829,
83,SwissRollBatch_no_topo,False,5.777606734460292,3.0523102826175155,
84,MNISTBatch,True,40.63765335083008,75.54874420166016,135.9706540134987
85,Galaxy10Batch_no_topo,False,99.43475341796875,267.29644775390625,273.66768662707136
86,LettersBatch_no_topo,False,61.47213363647461,125.08390045166016,244.43564985559698
87,OctaBatch_no_topo,False,1.8439279794692993,1.8764188289642334,
88,LettersBatch,True,47.14049530029297,93.16514587402344,133.89627907612015
89,SwissRollBatch,True,1.3784637451171875,1.4938983917236328,
90,LettersBatch,True,46.94551467895508,94.23432922363281,133.79754766705807
91,SwissRollBatch,True,2.3719401359558105,1.9538167715072632,
92,MNISTBatch_no_topo,False,43.383968353271484,83.76072692871094,147.54998853923396
93,MNISTBatch_no_topo,False,42.93709945678711,83.15686798095703,150.09887796382242
94,Galaxy10Batch,True,102.44757080078125,281.960693359375,281.2512282047585
95,Galaxy10Batch,True,87.37439727783203,276.2398986816406,278.9422135427326
96,OctaBatch,True,1.2075663805007935,1.5297861099243164,
97,OctaBatch,True,1.313283085823059,1.5939929485321045,
98,OpenCylinderBatch_no_topo,False,1.267476794534298,1.490548258722818,
99,OpenCylinderBatch_no_topo,False,1.1114872204247328,1.4097305490096088,
100,MNISTBatch_no_topo,False,45.02963638305664,87.24503326416016,144.34936508658245
101,Galaxy10Batch,True,88.24715423583984,270.0434265136719,262.08362119997656
102,LettersBatch,True,46.47064971923828,94.12904357910156,134.3749011788371
103,OpenCylinderBatch,True,0.9701534546337872,1.1764132538789458,
104,Galaxy10Batch_no_topo,False,99.54276275634766,271.3459777832031,257.86478472620723
105,SwissRollBatch_no_topo,False,5.6470370421861125,2.8635448042086216,
106,Galaxy10Batch_no_topo,False,100.55874633789062,279.02325439453125,275.8232560192672
107,LettersBatch_no_topo,False,58.012939453125,118.12152862548828,216.51925282048654
108,MNISTBatch,True,40.00545883178711,76.076171875,136.28232325326005
109,MNISTBatch_no_topo,False,43.13505554199219,83.05000305175781,144.87348612293908
110,Galaxy10Batch,True,88.73896789550781,266.2669677734375,272.1896900853675
111,OpenCylinderBatch_no_topo,False,1.2245897942018753,1.4682928364458496,
112,OpenCylinderBatch_no_topo,False,1.113708365551928,1.4161286863477145,
113,OpenCylinderBatch,True,1.072566900140969,1.217718615914012,
114,MNISTBatch,True,40.63677215576172,76.23223114013672,136.93918006251852
115,LettersBatch_no_topo,False,53.61983108520508,105.5228042602539,161.41588687935058
116,Galaxy10Batch_no_topo,False,100.18919372558594,274.7093811035156,270.4609584302759
117,SwissRollBatch_no_topo,False,6.649496232374915,3.355248812914219,
118,Galaxy10Batch_no_topo,False,87.98577880859375,269.7001953125,246.8971840378689
119,LettersBatch,True,47.320526123046875,94.93663024902344,133.63059932558485
